"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000278","GO:0000278","mitotic cell cycle","173/595","391/6528",0.442455242966752,4.85436609426379,24.8909455290264,3.48400508084702e-83,1.00269666226777e-79,1.00269666226777e-79,"ENSG00000145386/ENSG00000064102/ENSG00000138346/ENSG00000101224/ENSG00000161800/ENSG00000126787/ENSG00000127564/ENSG00000175662/ENSG00000138376/ENSG00000157456/ENSG00000136518/ENSG00000100749/ENSG00000198901/ENSG00000154839/ENSG00000168411/ENSG00000180198/ENSG00000123080/ENSG00000112242/ENSG00000167553/ENSG00000117724/ENSG00000198554/ENSG00000111206/ENSG00000010292/ENSG00000154429/ENSG00000100526/ENSG00000178999/ENSG00000134690/ENSG00000006634/ENSG00000168078/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000179051/ENSG00000164695/ENSG00000111602/ENSG00000164754/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000237649/ENSG00000128944/ENSG00000196230/ENSG00000120539/ENSG00000122966/ENSG00000122952/ENSG00000148773/ENSG00000165891/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000012048/ENSG00000197299/ENSG00000101003/ENSG00000203760/ENSG00000145604/ENSG00000156509/ENSG00000123473/ENSG00000129173/ENSG00000088325/ENSG00000163808/ENSG00000085840/ENSG00000123219/ENSG00000138160/ENSG00000108106/ENSG00000163781/ENSG00000196584/ENSG00000167325/ENSG00000109805/ENSG00000146918/ENSG00000253729/ENSG00000152253/ENSG00000104738/ENSG00000107937/ENSG00000118193/ENSG00000149554/ENSG00000164362/ENSG00000134222/ENSG00000121957/ENSG00000138180/ENSG00000117399/ENSG00000186193/ENSG00000136108/ENSG00000011426/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000097046/ENSG00000080839/ENSG00000166851/ENSG00000123374/ENSG00000000460/ENSG00000121621/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000076003/ENSG00000198176/ENSG00000112562/ENSG00000117632/ENSG00000123975/ENSG00000159147/ENSG00000114346/ENSG00000089685/ENSG00000140534/ENSG00000134057/ENSG00000105173/ENSG00000154920/ENSG00000013810/ENSG00000112984/ENSG00000178295/ENSG00000276043/ENSG00000132646/ENSG00000164109/ENSG00000165304/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000162063/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000167900/ENSG00000075702/ENSG00000175063/ENSG00000102384/ENSG00000149503/ENSG00000173207/ENSG00000156876/ENSG00000135446/ENSG00000184661/ENSG00000174442/ENSG00000175305/ENSG00000112118/ENSG00000077721/ENSG00000136122/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000143476/ENSG00000051180/ENSG00000171848/ENSG00000123416/ENSG00000094804/ENSG00000092853/ENSG00000165480/ENSG00000132341/ENSG00000075131/ENSG00000137812/ENSG00000158402/ENSG00000064313/ENSG00000093009/ENSG00000185697/ENSG00000167513/ENSG00000101057/ENSG00000164045/ENSG00000090889/ENSG00000101412/ENSG00000119203/ENSG00000136824/ENSG00000073111/ENSG00000172167/ENSG00000138182/ENSG00000177084/ENSG00000087586/ENSG00000071539/ENSG00000183856/ENSG00000161888/ENSG00000186185",173
"GO:1903047","GO:1903047","mitotic cell cycle process","159/595","336/6528",0.473214285714286,5.19183673469388,24.9825427435438,2.57983116046992e-81,3.71237703991622e-78,3.71237703991622e-78,"ENSG00000145386/ENSG00000064102/ENSG00000138346/ENSG00000101224/ENSG00000161800/ENSG00000126787/ENSG00000127564/ENSG00000175662/ENSG00000138376/ENSG00000157456/ENSG00000136518/ENSG00000100749/ENSG00000198901/ENSG00000154839/ENSG00000168411/ENSG00000180198/ENSG00000123080/ENSG00000112242/ENSG00000117724/ENSG00000111206/ENSG00000010292/ENSG00000154429/ENSG00000100526/ENSG00000178999/ENSG00000134690/ENSG00000006634/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000179051/ENSG00000164695/ENSG00000111602/ENSG00000164754/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000237649/ENSG00000128944/ENSG00000120539/ENSG00000122966/ENSG00000122952/ENSG00000148773/ENSG00000165891/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000012048/ENSG00000197299/ENSG00000101003/ENSG00000145604/ENSG00000156509/ENSG00000123473/ENSG00000088325/ENSG00000163808/ENSG00000085840/ENSG00000123219/ENSG00000138160/ENSG00000108106/ENSG00000163781/ENSG00000167325/ENSG00000109805/ENSG00000146918/ENSG00000253729/ENSG00000152253/ENSG00000104738/ENSG00000107937/ENSG00000118193/ENSG00000149554/ENSG00000164362/ENSG00000134222/ENSG00000121957/ENSG00000138180/ENSG00000117399/ENSG00000186193/ENSG00000136108/ENSG00000011426/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000097046/ENSG00000080839/ENSG00000166851/ENSG00000123374/ENSG00000121621/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000076003/ENSG00000198176/ENSG00000117632/ENSG00000159147/ENSG00000114346/ENSG00000089685/ENSG00000140534/ENSG00000134057/ENSG00000105173/ENSG00000154920/ENSG00000013810/ENSG00000112984/ENSG00000178295/ENSG00000276043/ENSG00000132646/ENSG00000164109/ENSG00000165304/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000162063/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000167900/ENSG00000075702/ENSG00000175063/ENSG00000102384/ENSG00000149503/ENSG00000156876/ENSG00000135446/ENSG00000184661/ENSG00000174442/ENSG00000175305/ENSG00000112118/ENSG00000077721/ENSG00000136122/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000143476/ENSG00000051180/ENSG00000171848/ENSG00000094804/ENSG00000092853/ENSG00000165480/ENSG00000132341/ENSG00000075131/ENSG00000137812/ENSG00000158402/ENSG00000064313/ENSG00000093009/ENSG00000167513/ENSG00000164045/ENSG00000090889/ENSG00000101412/ENSG00000119203/ENSG00000136824/ENSG00000073111/ENSG00000172167/ENSG00000138182/ENSG00000177084/ENSG00000087586/ENSG00000071539/ENSG00000183856/ENSG00000161888/ENSG00000186185",159
"GO:0007059","GO:0007059","chromosome segregation","104/595","176/6528",0.590909090909091,6.48311688311688,23.3510658225195,1.08242929250024e-64,1.0384105012719e-61,1.0384105012719e-61,"ENSG00000164611/ENSG00000138092/ENSG00000149636/ENSG00000161800/ENSG00000126787/ENSG00000136518/ENSG00000198901/ENSG00000154839/ENSG00000180198/ENSG00000117724/ENSG00000010292/ENSG00000154429/ENSG00000178999/ENSG00000134690/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000179051/ENSG00000164695/ENSG00000164754/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000175643/ENSG00000237649/ENSG00000128944/ENSG00000122952/ENSG00000148773/ENSG00000040275/ENSG00000115163/ENSG00000012048/ENSG00000203760/ENSG00000123473/ENSG00000088325/ENSG00000101447/ENSG00000163808/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000138160/ENSG00000100162/ENSG00000109805/ENSG00000146918/ENSG00000120334/ENSG00000152253/ENSG00000118193/ENSG00000134222/ENSG00000096063/ENSG00000121957/ENSG00000131747/ENSG00000117399/ENSG00000184445/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000166851/ENSG00000000460/ENSG00000121621/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000114346/ENSG00000089685/ENSG00000134057/ENSG00000013810/ENSG00000178295/ENSG00000276043/ENSG00000164109/ENSG00000131470/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000175063/ENSG00000102384/ENSG00000149503/ENSG00000156876/ENSG00000164934/ENSG00000166451/ENSG00000184661/ENSG00000174442/ENSG00000005022/ENSG00000117650/ENSG00000085415/ENSG00000131351/ENSG00000182628/ENSG00000094804/ENSG00000129810/ENSG00000165480/ENSG00000132341/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000123485/ENSG00000090889/ENSG00000136824/ENSG00000071539/ENSG00000161888/ENSG00000186185",104
"GO:0006259","GO:0006259","DNA metabolic process","154/595","398/6528",0.386934673366834,4.24522613065327,21.15603993271,2.55571419694405e-63,1.83883636470124e-60,1.83883636470124e-60,"ENSG00000164611/ENSG00000179750/ENSG00000145386/ENSG00000174371/ENSG00000112039/ENSG00000176208/ENSG00000138346/ENSG00000138376/ENSG00000136518/ENSG00000004487/ENSG00000109674/ENSG00000168411/ENSG00000135372/ENSG00000133119/ENSG00000068878/ENSG00000117724/ENSG00000062822/ENSG00000198554/ENSG00000111206/ENSG00000136492/ENSG00000178999/ENSG00000006634/ENSG00000127423/ENSG00000113810/ENSG00000124795/ENSG00000130826/ENSG00000189057/ENSG00000170312/ENSG00000136982/ENSG00000065328/ENSG00000111602/ENSG00000164754/ENSG00000166803/ENSG00000100479/ENSG00000183765/ENSG00000175643/ENSG00000162929/ENSG00000165891/ENSG00000139618/ENSG00000095002/ENSG00000012048/ENSG00000197299/ENSG00000085999/ENSG00000101003/ENSG00000145604/ENSG00000150594/ENSG00000159259/ENSG00000129173/ENSG00000162607/ENSG00000077152/ENSG00000076248/ENSG00000115233/ENSG00000085840/ENSG00000163029/ENSG00000072274/ENSG00000163781/ENSG00000196584/ENSG00000167325/ENSG00000253729/ENSG00000013573/ENSG00000104738/ENSG00000107937/ENSG00000187741/ENSG00000149554/ENSG00000183814/ENSG00000164362/ENSG00000131747/ENSG00000169139/ENSG00000119969/ENSG00000181938/ENSG00000147687/ENSG00000149136/ENSG00000097046/ENSG00000146670/ENSG00000197275/ENSG00000166851/ENSG00000132780/ENSG00000123374/ENSG00000000460/ENSG00000137309/ENSG00000176890/ENSG00000164305/ENSG00000076003/ENSG00000112562/ENSG00000186871/ENSG00000146731/ENSG00000166548/ENSG00000159147/ENSG00000049541/ENSG00000150753/ENSG00000181544/ENSG00000185480/ENSG00000140534/ENSG00000189091/ENSG00000154920/ENSG00000166508/ENSG00000178295/ENSG00000140525/ENSG00000276043/ENSG00000132646/ENSG00000131470/ENSG00000159388/ENSG00000112029/ENSG00000178966/ENSG00000116062/ENSG00000109685/ENSG00000120533/ENSG00000121152/ENSG00000144554/ENSG00000165501/ENSG00000125319/ENSG00000100297/ENSG00000146143/ENSG00000167900/ENSG00000198056/ENSG00000111247/ENSG00000112118/ENSG00000077721/ENSG00000117650/ENSG00000147536/ENSG00000143476/ENSG00000051180/ENSG00000183763/ENSG00000171848/ENSG00000029993/ENSG00000096384/ENSG00000051341/ENSG00000094804/ENSG00000171792/ENSG00000092853/ENSG00000197451/ENSG00000146263/ENSG00000132341/ENSG00000075131/ENSG00000064313/ENSG00000168496/ENSG00000093009/ENSG00000167513/ENSG00000164045/ENSG00000164104/ENSG00000131153/ENSG00000158169/ENSG00000167670/ENSG00000136824/ENSG00000156261/ENSG00000073111/ENSG00000177084/ENSG00000071539/ENSG00000140451/ENSG00000144381/ENSG00000163918/ENSG00000091651/ENSG00000171320/ENSG00000182481",154
"GO:0051276","GO:0051276","chromosome organization","116/595","229/6528",0.506550218340611,5.55757953836556,22.2328075497713,2.49580376462799e-62,1.43658464691987e-59,1.43658464691987e-59,"ENSG00000164611/ENSG00000138092/ENSG00000174371/ENSG00000138346/ENSG00000113569/ENSG00000161800/ENSG00000126787/ENSG00000136518/ENSG00000198901/ENSG00000154839/ENSG00000180198/ENSG00000135372/ENSG00000117724/ENSG00000010292/ENSG00000154429/ENSG00000163507/ENSG00000178999/ENSG00000134690/ENSG00000113810/ENSG00000130826/ENSG00000076382/ENSG00000170312/ENSG00000177602/ENSG00000136982/ENSG00000164695/ENSG00000164754/ENSG00000159055/ENSG00000183765/ENSG00000169679/ENSG00000175643/ENSG00000237649/ENSG00000128944/ENSG00000122952/ENSG00000077935/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000095002/ENSG00000197299/ENSG00000203760/ENSG00000088325/ENSG00000163808/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000138160/ENSG00000163781/ENSG00000109805/ENSG00000146918/ENSG00000253729/ENSG00000013573/ENSG00000152253/ENSG00000118193/ENSG00000164362/ENSG00000134222/ENSG00000131747/ENSG00000117399/ENSG00000184445/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000146670/ENSG00000166851/ENSG00000132780/ENSG00000123374/ENSG00000121621/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000146731/ENSG00000150753/ENSG00000089685/ENSG00000134057/ENSG00000013810/ENSG00000178295/ENSG00000276043/ENSG00000132646/ENSG00000164109/ENSG00000131470/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000175063/ENSG00000102384/ENSG00000149503/ENSG00000104147/ENSG00000166451/ENSG00000174442/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000051180/ENSG00000029993/ENSG00000096384/ENSG00000094804/ENSG00000129810/ENSG00000165480/ENSG00000132341/ENSG00000137812/ENSG00000168496/ENSG00000167513/ENSG00000123485/ENSG00000171793/ENSG00000164104/ENSG00000090889/ENSG00000136824/ENSG00000156261/ENSG00000071539/ENSG00000140451/ENSG00000161888/ENSG00000171320/ENSG00000186185",116
"GO:0010564","GO:0010564","regulation of cell cycle process","135/595","319/6528",0.423197492163009,4.64308105687416,21.1266900515629,1.09713158701158e-60,5.26257451236555e-58,5.26257451236555e-58,"ENSG00000176208/ENSG00000138346/ENSG00000101224/ENSG00000161800/ENSG00000126787/ENSG00000127564/ENSG00000175662/ENSG00000138376/ENSG00000136518/ENSG00000198901/ENSG00000154839/ENSG00000168411/ENSG00000180198/ENSG00000123080/ENSG00000135372/ENSG00000133119/ENSG00000117724/ENSG00000154429/ENSG00000136492/ENSG00000178999/ENSG00000134690/ENSG00000006634/ENSG00000113810/ENSG00000076382/ENSG00000142731/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000179051/ENSG00000164695/ENSG00000111602/ENSG00000164754/ENSG00000183765/ENSG00000169679/ENSG00000175643/ENSG00000128944/ENSG00000122966/ENSG00000122952/ENSG00000148773/ENSG00000165891/ENSG00000139618/ENSG00000040275/ENSG00000012048/ENSG00000197299/ENSG00000156509/ENSG00000123473/ENSG00000129173/ENSG00000088325/ENSG00000101447/ENSG00000085840/ENSG00000163029/ENSG00000138160/ENSG00000163781/ENSG00000167325/ENSG00000109805/ENSG00000146918/ENSG00000253729/ENSG00000013573/ENSG00000152253/ENSG00000107937/ENSG00000118193/ENSG00000149554/ENSG00000164362/ENSG00000134222/ENSG00000121957/ENSG00000117399/ENSG00000011426/ENSG00000184445/ENSG00000138778/ENSG00000080986/ENSG00000097046/ENSG00000080839/ENSG00000166851/ENSG00000123374/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000198176/ENSG00000159147/ENSG00000049541/ENSG00000114346/ENSG00000089685/ENSG00000140534/ENSG00000134057/ENSG00000105173/ENSG00000154920/ENSG00000013810/ENSG00000112984/ENSG00000178295/ENSG00000164109/ENSG00000106462/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000162063/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000075702/ENSG00000175063/ENSG00000149503/ENSG00000156876/ENSG00000135446/ENSG00000111247/ENSG00000184661/ENSG00000174442/ENSG00000175305/ENSG00000136122/ENSG00000117650/ENSG00000143476/ENSG00000051180/ENSG00000171848/ENSG00000094804/ENSG00000171792/ENSG00000092853/ENSG00000165480/ENSG00000075131/ENSG00000137812/ENSG00000092470/ENSG00000158402/ENSG00000168496/ENSG00000093009/ENSG00000167513/ENSG00000164045/ENSG00000101412/ENSG00000119203/ENSG00000136824/ENSG00000172167/ENSG00000138182/ENSG00000278259/ENSG00000087586/ENSG00000071539/ENSG00000163918/ENSG00000161888",135
"GO:0051301","GO:0051301","cell division","124/595","275/6528",0.450909090909091,4.94711688311688,21.1777703554468,2.42463189394245e-59,9.96870084395196e-57,9.96870084395196e-57,"ENSG00000164611/ENSG00000145386/ENSG00000064102/ENSG00000133739/ENSG00000149636/ENSG00000101224/ENSG00000161800/ENSG00000129195/ENSG00000157456/ENSG00000100749/ENSG00000198901/ENSG00000154839/ENSG00000180198/ENSG00000167553/ENSG00000117724/ENSG00000010292/ENSG00000154429/ENSG00000178999/ENSG00000134690/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000179051/ENSG00000164695/ENSG00000111602/ENSG00000164754/ENSG00000159055/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000237649/ENSG00000128944/ENSG00000196230/ENSG00000120539/ENSG00000122966/ENSG00000122952/ENSG00000165891/ENSG00000040275/ENSG00000115163/ENSG00000197299/ENSG00000203760/ENSG00000129173/ENSG00000088325/ENSG00000101447/ENSG00000066279/ENSG00000163535/ENSG00000138160/ENSG00000108106/ENSG00000109805/ENSG00000146918/ENSG00000152253/ENSG00000118193/ENSG00000134222/ENSG00000121957/ENSG00000119699/ENSG00000138180/ENSG00000117399/ENSG00000186193/ENSG00000136108/ENSG00000011426/ENSG00000119969/ENSG00000184445/ENSG00000175216/ENSG00000138778/ENSG00000080986/ENSG00000097046/ENSG00000146670/ENSG00000100167/ENSG00000166851/ENSG00000149679/ENSG00000123374/ENSG00000111665/ENSG00000156970/ENSG00000137807/ENSG00000186871/ENSG00000117632/ENSG00000123975/ENSG00000114346/ENSG00000089685/ENSG00000134057/ENSG00000105173/ENSG00000013810/ENSG00000163872/ENSG00000112984/ENSG00000164109/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000162063/ENSG00000121152/ENSG00000142945/ENSG00000175063/ENSG00000149503/ENSG00000173207/ENSG00000135446/ENSG00000104147/ENSG00000184661/ENSG00000174442/ENSG00000175305/ENSG00000136122/ENSG00000117650/ENSG00000085415/ENSG00000131351/ENSG00000182628/ENSG00000123416/ENSG00000094804/ENSG00000129810/ENSG00000168883/ENSG00000165480/ENSG00000132341/ENSG00000075131/ENSG00000137812/ENSG00000158402/ENSG00000167513/ENSG00000164045/ENSG00000090889/ENSG00000136824/ENSG00000138182/ENSG00000278259/ENSG00000087586/ENSG00000183856/ENSG00000161888/ENSG00000186185",124
"GO:0051726","GO:0051726","regulation of cell cycle","153/595","446/6528",0.34304932735426,3.76374119154388,19.147836388074,1.41903398891211e-54,5.1049747751113e-52,5.1049747751113e-52,"ENSG00000064102/ENSG00000176208/ENSG00000138346/ENSG00000101224/ENSG00000161800/ENSG00000126787/ENSG00000127564/ENSG00000175662/ENSG00000138376/ENSG00000136518/ENSG00000198901/ENSG00000154839/ENSG00000168411/ENSG00000180198/ENSG00000123080/ENSG00000135372/ENSG00000132964/ENSG00000133119/ENSG00000117724/ENSG00000068489/ENSG00000111206/ENSG00000154429/ENSG00000100526/ENSG00000136492/ENSG00000178999/ENSG00000134690/ENSG00000006634/ENSG00000113810/ENSG00000076382/ENSG00000142731/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000179051/ENSG00000164695/ENSG00000111602/ENSG00000164754/ENSG00000166803/ENSG00000183765/ENSG00000169679/ENSG00000175643/ENSG00000128944/ENSG00000120539/ENSG00000122966/ENSG00000122952/ENSG00000148773/ENSG00000165891/ENSG00000139618/ENSG00000040275/ENSG00000012048/ENSG00000197299/ENSG00000156509/ENSG00000123473/ENSG00000129173/ENSG00000088325/ENSG00000101447/ENSG00000066279/ENSG00000085840/ENSG00000163029/ENSG00000138160/ENSG00000163781/ENSG00000167325/ENSG00000109805/ENSG00000146918/ENSG00000253729/ENSG00000013573/ENSG00000152253/ENSG00000107937/ENSG00000118193/ENSG00000149554/ENSG00000183814/ENSG00000164362/ENSG00000134222/ENSG00000121957/ENSG00000117399/ENSG00000011426/ENSG00000184445/ENSG00000138778/ENSG00000080986/ENSG00000097046/ENSG00000080839/ENSG00000166851/ENSG00000149679/ENSG00000123374/ENSG00000165490/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000198176/ENSG00000112562/ENSG00000123975/ENSG00000159147/ENSG00000049541/ENSG00000130222/ENSG00000114346/ENSG00000089685/ENSG00000140534/ENSG00000134057/ENSG00000105173/ENSG00000154920/ENSG00000013810/ENSG00000163872/ENSG00000112984/ENSG00000178295/ENSG00000164109/ENSG00000106462/ENSG00000112029/ENSG00000213024/ENSG00000135476/ENSG00000143228/ENSG00000162063/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000075702/ENSG00000175063/ENSG00000149503/ENSG00000173207/ENSG00000156876/ENSG00000135446/ENSG00000111247/ENSG00000184661/ENSG00000174442/ENSG00000175305/ENSG00000136122/ENSG00000117650/ENSG00000143476/ENSG00000051180/ENSG00000171848/ENSG00000096384/ENSG00000094804/ENSG00000171792/ENSG00000092853/ENSG00000165480/ENSG00000075131/ENSG00000137812/ENSG00000092470/ENSG00000158402/ENSG00000168496/ENSG00000093009/ENSG00000167513/ENSG00000164045/ENSG00000101412/ENSG00000119203/ENSG00000136824/ENSG00000172167/ENSG00000138182/ENSG00000278259/ENSG00000106615/ENSG00000087586/ENSG00000071539/ENSG00000163918/ENSG00000161888",153
"GO:0048285","GO:0048285","organelle fission","103/595","208/6528",0.495192307692308,5.43296703296703,20.5752795684449,7.17629772583252e-54,2.29482053943844e-51,2.29482053943844e-51,"ENSG00000164611/ENSG00000247077/ENSG00000066855/ENSG00000161800/ENSG00000126787/ENSG00000127564/ENSG00000175662/ENSG00000198901/ENSG00000154839/ENSG00000180198/ENSG00000117724/ENSG00000010292/ENSG00000154429/ENSG00000136492/ENSG00000178999/ENSG00000134690/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000164695/ENSG00000164754/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000237649/ENSG00000128944/ENSG00000122952/ENSG00000148773/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000085999/ENSG00000156509/ENSG00000088325/ENSG00000163808/ENSG00000163535/ENSG00000123219/ENSG00000138160/ENSG00000108106/ENSG00000109805/ENSG00000146918/ENSG00000152253/ENSG00000118193/ENSG00000149554/ENSG00000134222/ENSG00000131747/ENSG00000117399/ENSG00000011426/ENSG00000184445/ENSG00000138778/ENSG00000080986/ENSG00000197275/ENSG00000166851/ENSG00000121621/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000089685/ENSG00000134057/ENSG00000154920/ENSG00000178295/ENSG00000276043/ENSG00000164109/ENSG00000131470/ENSG00000112029/ENSG00000213024/ENSG00000178966/ENSG00000135476/ENSG00000143228/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000175063/ENSG00000102384/ENSG00000149503/ENSG00000153310/ENSG00000164934/ENSG00000111247/ENSG00000184661/ENSG00000174442/ENSG00000136122/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000051180/ENSG00000129810/ENSG00000165480/ENSG00000132341/ENSG00000137812/ENSG00000158402/ENSG00000185697/ENSG00000167513/ENSG00000090889/ENSG00000146410/ENSG00000136824/ENSG00000138182/ENSG00000278259/ENSG00000087586/ENSG00000071539/ENSG00000161888/ENSG00000186185",103
"GO:0000280","GO:0000280","nuclear division","98/595","191/6528",0.513089005235602,5.62931937172775,20.5622241177201,4.87387956016129e-53,1.40270253741442e-50,1.40270253741442e-50,"ENSG00000164611/ENSG00000161800/ENSG00000126787/ENSG00000127564/ENSG00000175662/ENSG00000198901/ENSG00000154839/ENSG00000180198/ENSG00000117724/ENSG00000010292/ENSG00000154429/ENSG00000136492/ENSG00000178999/ENSG00000134690/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000177602/ENSG00000130695/ENSG00000164695/ENSG00000164754/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000237649/ENSG00000128944/ENSG00000122952/ENSG00000148773/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000085999/ENSG00000156509/ENSG00000088325/ENSG00000163808/ENSG00000163535/ENSG00000123219/ENSG00000138160/ENSG00000108106/ENSG00000109805/ENSG00000146918/ENSG00000152253/ENSG00000118193/ENSG00000149554/ENSG00000134222/ENSG00000131747/ENSG00000117399/ENSG00000011426/ENSG00000184445/ENSG00000138778/ENSG00000080986/ENSG00000197275/ENSG00000166851/ENSG00000121621/ENSG00000156970/ENSG00000112742/ENSG00000137807/ENSG00000089685/ENSG00000134057/ENSG00000154920/ENSG00000178295/ENSG00000276043/ENSG00000164109/ENSG00000131470/ENSG00000112029/ENSG00000213024/ENSG00000178966/ENSG00000135476/ENSG00000143228/ENSG00000121152/ENSG00000144554/ENSG00000142945/ENSG00000175063/ENSG00000102384/ENSG00000149503/ENSG00000164934/ENSG00000111247/ENSG00000184661/ENSG00000174442/ENSG00000136122/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000051180/ENSG00000129810/ENSG00000165480/ENSG00000132341/ENSG00000137812/ENSG00000158402/ENSG00000185697/ENSG00000167513/ENSG00000090889/ENSG00000136824/ENSG00000138182/ENSG00000087586/ENSG00000071539/ENSG00000161888/ENSG00000186185",98
